Equipo,Denominación,GMAO,Ubicación Tec
2053774,MATRIZ PVD010 SERTISSAGE TT,WSEXMT709,ENVG_T_006_OU-_PV--_PVD-_0020
2053776,MATRIZ PRD020 X52 SERTISSAGE [O.Z],WSEXMT711,ENVG_T_006_OU-_PR--_PRD-_0010
2053777,MATRIZ PVD030 SERTISSAGE TT,WSEXMT712,ENVG_T_006_OU-_PV--_PVD-_0020
2053778,MATRIZ PRD030 X52 SERTISSAGE [O.Z],WSEXMT713,ENVG_T_006_OU-_PR--_PRD-_0010
2053779,MATRIZ CV010 X52 SERTISSAGE [O.Z],WSEXMT714,ENVG_T_006_OU-_CR--_CRX-_0009
2053780,MATRIZ CR010 L52 SERTISSAGE [O.Z],WSEXMT715,ENVG_T_006_OU-_CR--_CRX-_0009
2053781,MATRIZ AIG010 X52SERTISSAGE ALETAS [O.Z],WSEXMT716,ENVG_T_006_OU-_AI--_AIG-_0010
2053782,MATRIZ AID010 X52 SERTISSAGE ALETAS[O.Z],WSEXMT717,ENVG_T_006_OU-_AI--_AID-_0010
2053784,MATRIZ CR020 APL MASTIC PORTILLON [O.Z],WAMPMT036,ENVG_T_PIM
2053785,MATRIZ CV020 APLIC MASTIC CAPOT [O.Z],WAMCMT037,ENVG_T_PIM
2053786,MATRIZ CR030 B52 SERTISSAGE [O.Z],WSEXMT721,ENVG_T_006_OU-_CR--_CRX-_0010
2053791,MATRIZ PRD005 REFUE ARTICULACN DER [O.Z],WRADMT038,ENVG_T_PIM
2053793,MATRIZ PRG005 ARTICULACION IZQ [O.Z],WARIMT039,ENVG_T_PIM
2053795,MATRIZ PRGD002 ENSAM. REFU. P.T.D [O.Z],WEPTMT041,ENVG_T_PIM
2053799,MATRIZ LVD020 H-X BLOQUE DELANT D [J.A],WBLXMT734,ENVG_T_006_BRX_LV--_LVD-_0020
2053802,MATRIZ PVD008 REFU ARTICULAC P.I,WRAPMT044,ENVG_T_PIM
2053805,MATRIZ CR010 MASTIC PORTILLON [O.Z],WMPRMT047,ENVG_T_PIM
2053806,MATRIZ PVD002 BAJANTE DERECHO [O.Z],WBJDMT048,ENVG_T_PIM
2053807,MATRIZ PVG002 BAJANTE IZQUIERDO [J.A],WBJIMT049,ENVG_T_006_BRX_SR--
2053808,MATRIZ LRG020  X52  PISO TRASERO [J.A],WPSXMT683,ENVG_T_006_BRX_SR--_LRG-_0020
2053809,MATRIZ PISO TRA LARG D LRD020 X52 [J.A],WPSXMT684,ENVG_T_006_BRX_SR--_LRD-_0020
2053811,ISLA SUR SERTISSAGE X52,WSEXIS004,ENVG_T_006_OU-_PV--_PVX-_0008
2053812,ISLA NORTE SERTISSAGE X52 DORIAN P,WSEXIS005,ENVG_T_002_OU-_CR--_CRS-
2053882,ESTRUCTURA TERMINACION,WTERES001,ENVG_T_COM_CF-_CFF-_CFF1
2054215,ESTRUCTURA UNIDAD 1,WUN1ES003,ENVG_T_006_BRX_BRP-_BRP1
2054216,ESTRUCTURA UNIDAD 2,WUN2ES004,ENVG_T_006_CX-
2054217,ESTRUCTURA SERTISSAGE,WSERES005,ENVG_T_002_OU-_CV--_CVA-_0010
2057003,ESTACIONARIA PRP12,WBLXEE014,ENVG_T
2057490,BOMBA STAND BY PIVOTANTE X52 JULIAN C,WCBXPV003,ENVG_T_001_CS-_CSA-_CSA1_0020
2061884,Bloqueo y etiquetado #1,WGENBE001,ENVG_T_COM
2061885,BLOQUEO Y ETIQUETADO #1,WGENBE001,ENVG_T_COM
2061886,BLOQUEO Y ETIQUETADO #2,WGENBE002,ENVG_T_COM
2061887,BLOQUEO Y ETIQUETADO #3,WGENBE003,ENVG_T_COM
2061888,BLOQUEO Y ETIQUETADO #4,WGENBE004,ENVG_T_COM
2061889,BLOQUEO Y ETIQUETADO #5,WGENBE005,ENVG_T_COM
2061890,BLOQUEO Y ETIQUETADO #6,WGENBE006,ENVG_T_COM
2061891,BLOQUEO Y ETIQUETADO #7,WGENBE007,ENVG_T_COM
2061892,BLOQUEO Y ETIQUETADO #8,WGENBE008,ENVG_T_COM
2062173,BLOQUEO Y ETIQUETADO #9,WGENBE009,ENVG_T_COM
2062174,BLOQUEO Y ETIQUETADO #9,WGENBE009,ENVG_T_COM
2062175,BLOQUEO Y ETIQUETADO #10,WGENBE010,ENVG_T_COM
2062280,KIT DE ALTURAS #1,WGENKA001,ENVG_T_COM
2062281,KIT DE ALTURAS #2,WGENKA002,ENVG_T_COM
2062282,KIT DE ALTURAS #3,WGENKA003,ENVG_T_COM
2062283,KIT DE ALTURAS #4,WGENKA004,ENVG_T_COM
2062284,KIT DE ALTURAS #5,WGENKA005,ENVG_T_COM
2062285,KIT DE ALTURAS #6,WGENKA006,ENVG_T_COM
2062286,KIT DE ALTURAS #7,WGENKA007,ENVG_T_COM
